ba;wt.product;Produkte im Warenkorb, Produktname;E-Commerce > Produkte;Products in shopping basket, Product name;E-Commerce > Products
mc;wt.campaignId;"Kampagnen ID bestehend aus Mediacode Parameter und Wert (""wt_mc=newsletter""), Kampagnen ID bestehend aus Parameter und Wert (z.B. ""wt_mc=newsletter"")";Marketing > Kampagnen > Werbemittel;"Campaign ID consisting of media code parameter and value (""wt_mc=newsletter""), Campaign ID, consists of parameter and value (e.g. ""wt_mc=newsletter"")";Marketing > Campaigns > Advertising Media
mca;wt.campaignAction;Kampagnen Aktion [c = click, v = view], Kampagnenaktion [c = click, v = view];"Metriken: ""Kampagnenansichten"", ""Kampagnenklicks""";Campaign action [c = click, v = view];"Metrics: ""Campaign Views"", ""Campaign Clicks"""
mg;;Medienkategorie;Medien > Medienkategorien > [Name der Medienkategorie];Media category;"Navigation > Media > Media Categories > [Name of Category](for datatype ""Text"", otherwise metric)"
mg890;;Video Title;Navigation > Medienkategorien;Video Title;Navigation > Media Categories
mg891;;Video URL;Navigation > Medienkategorien;Video URL;Navigation > Media Categories
mg892;;Video Thumbnail;Navigation > Medienkategorien;Video Thumbnail;Navigation > Media Categories
mi;;Name des Videos;Navigation > Medien > Medien;Name of the video;Navigation > Media > Media
mk;;Position der Media-Players;Navigation > Medien > Medienabschnitte;Position of the media player;Navigation > Media > Media Chapters
mt1;;Aktuelle Position innerhalb des Videos.;"Metrik: ""Spieldauer""";Current position of the video;"Metric: ""Run Time"""
mt2;;Gesamtspieldauer des Videos.;"Metrik: ""Medienspieldauer""";Total run time of the video;"Metric: ""Media Run Time"""
mut;;Stummschaltung [1-Stummschaltung aktiv];Navigation > Medien > Medienplayer lautlos;Mute [1-mute active];Navigation > Media > Media Player Mute
np;-wird automatisch ausgelesen-;Installierte Browser Plugins;Besucher > Technologie > Plugins;Browser Plugins;Visitors > Technology > Plugins
oi;wt.orderId;Order ID, Bestellnummer;E-Commerce > Bestellungen einzeln;Order ID;E-Commerce > Orders separately
one;-wird automatisch ausgelesen-;New vs. Returning Visitor - 1 Wenn es noch kein EID Cookie gibt, 0 wenn EID Cookie vorhanden;;Marks the first request of a visitor with 1, otherwise 0;E-Commerce > Orders separately
ov;wt.orderValue;Bestellwert;"Metrik ""Bestellwert""";Order value;"Metric ""Order Value"""
